"X","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
873,"11/4/1994","Frankenstein",45000000,22006296,112006296,"Sony Pictures","R","Horror"
874,"10/4/1996","The Glimmer Man",45000000,20404841,36404841,"Warner Bros.","R","Action"
875,"7/17/1996","Multiplicity",45000000,20133326,20133326,"Sony Pictures","PG-13","Comedy"
876,"1/19/2001","The Pledge",45000000,19719930,29406132,"Warner Bros.","R","Drama"
877,"6/7/1996","The Phantom",45000000,17220599,17220599,"Paramount Pictures","PG","Action"
878,"7/1/2005","Rebound",45000000,16809014,17492014,"20th Century Fox","PG","Comedy"
879,"12/20/1995","Nixon",45000000,13668249,34668249,"Walt Disney","R","Drama"
880,"9/21/2012","Dredd",45000000,13414714,41467606,"Lionsgate","R","Action"
881,"10/28/2011","The Rum Diary",45000000,13109815,21544732,"FilmDistrict","R","Drama"
882,"1/30/1998","Deep Rising",45000000,11203026,11203026,"Walt Disney","R","Action"
883,"10/21/2011","Johnny English Reborn",45000000,8406711,164640401,"Universal","PG","Adventure"
884,"9/26/2008","Miracle at St. Anna",45000000,7916887,9676497,"Walt Disney","R","Drama"
885,"4/5/2002","Big Trouble",45000000,7262288,8488871,"Walt Disney","PG-13","Comedy"
886,"12/21/2006","Man cheng jin dai huang jin jia",45000000,6566773,76904429,"Sony Pictures Classics","R","Action"
887,"11/16/2007","Love in the Time of Cholera",45000000,4617608,31077418,"New Line","R","Drama"
888,"5/22/1985","Rambo: First Blood Part II",44000000,150415432,300400000,"Sony/TriStar","R","Action"
889,"10/18/1996","Sleepers",44000000,53300852,165600852,"Warner Bros.","R","Drama"
890,"7/30/2010","Charlie St. Cloud",44000000,31206263,48478084,"Universal","PG-13","Drama"
891,"2/6/2014","The Interview",44000000,6105175,12342632,"Sony Pictures","R","Comedy"
892,"6/28/2013","The Heat",43000000,159581587,229727774,"20th Century Fox","R","Comedy"
893,"12/19/2000","Finding Forrester",43000000,51768623,80013623,"Sony Pictures","PG-13","Drama"
894,"4/14/2000","28 Days",43000000,37035515,62063972,"Sony Pictures","PG-13","Comedy"
895,"5/13/2005","Danny the Dog",43000000,24537621,49037621,"Focus/Rogue Pictures","R","Action"
896,"1/6/2017","A Monster Calls",43000000,3740823,46414964,"Focus Features","PG-13","Drama"
897,"1/28/2011","The Mechanic",42500000,29121498,76347393,"CBS Films","R","Action"
898,"3/16/2012","21 Jump Street",42000000,138447667,202812429,"Sony Pictures","R","Comedy"
899,"6/21/2000","Chicken Run",42000000,106793915,227793915,"Dreamworks SKG","G","Adventure"
900,"7/1/1992","Boomerang",42000000,70052444,131052444,"Paramount Pictures","R","Comedy"
901,"7/10/2009","Brüno",42000000,60054530,138708527,"Universal","R","Comedy"
